ASM_A_MeanT,ASD_A_SDevT,BSM_B_MeanT,BSD_B_SDevT,CSM_C_MeanT,CSD_C_SDevT,ISM_I_MeanT,ISD_I_SDevT,ALM_A_MeanT,ALD_A_SDevT,BLM_B_MeanT,BLD_B_SDevT,CLM_C_MeanT,CLD_C_SDevT,ILM_I_MeanT,ILD_I_SDevT,target_DFlow,target_DGap
-4.64,0.01,1.14,0.0,5.13,0.0,2.64,0.02,-4.64,0.01,1.14,0.01,5.13,0.03,2.63,0.05,0.0,-0.12127
-4.58,0.02,1.07,0.11,5.55,0.05,2.8,0.04,-4.6,0.02,1.1,0.07,5.24,0.18,2.61,0.2,0.0,0.0
-4.48,0.19,1.03,0.06,5.2,0.11,2.23,0.37,-4.56,0.12,1.1,0.05,5.16,0.07,2.45,0.28,0.0,0.0
-4.65,0.09,0.17,0.06,6.1,0.03,2.91,0.3,-4.58,0.09,0.76,0.39,5.76,0.26,2.74,0.28,0.19612,0.0
-4.65,0.01,1.13,0.0,5.11,0.0,2.59,0.03,-4.65,0.02,1.13,0.02,5.12,0.02,2.57,0.14,0.0,-0.12127
-4.71,0.06,0.45,0.12,5.83,0.11,1.98,0.33,-4.74,0.06,0.47,0.2,5.79,0.19,1.81,0.39,0.0,0.12127
-4.64,0.0,1.13,0.0,5.15,0.02,2.75,0.01,-4.68,0.1,0.8,0.32,5.49,0.32,2.28,0.49,0.0,0.0
-4.65,0.01,1.13,0.0,5.14,0.02,2.77,0.02,-4.64,0.01,1.13,0.01,5.13,0.03,2.62,0.17,0.0,0.0
-4.62,0.02,1.13,0.0,5.25,0.08,2.77,0.09,-4.54,0.22,1.1,0.1,5.29,0.2,2.7,0.16,0.0,0.0
-4.6,0.05,1.11,0.02,5.26,0.2,2.43,0.28,-4.6,0.07,1.1,0.05,5.26,0.15,2.64,0.25,0.0,0.0
-4.46,0.05,1.06,0.02,5.12,0.0,2.0,0.19,-4.54,0.15,1.07,0.09,5.14,0.06,2.38,0.42,-0.19612,0.0
-4.71,0.04,0.47,0.22,5.86,0.15,2.08,0.19,-4.76,0.07,0.44,0.24,5.85,0.19,1.77,0.47,0.0,0.12127
-4.62,0.02,1.06,0.11,5.41,0.15,2.78,0.08,-4.61,0.08,0.92,0.24,5.51,0.24,2.55,0.4,0.0,0.0
-4.68,0.1,0.59,0.17,5.56,0.14,1.82,0.34,-4.75,0.13,0.43,0.19,5.73,0.21,1.38,0.41,0.19612,0.0
-4.62,0.05,0.66,0.31,5.7,0.17,2.59,0.26,-4.58,0.1,0.68,0.4,5.8,0.26,2.69,0.3,0.0,0.12127
