ASM_A_MeanT,ASD_A_SDevT,BSM_B_MeanT,BSD_B_SDevT,CSM_C_MeanT,CSD_C_SDevT,ISM_I_MeanT,ISD_I_SDevT,ALM_A_MeanT,ALD_A_SDevT,BLM_B_MeanT,BLD_B_SDevT,CLM_C_MeanT,CLD_C_SDevT,ILM_I_MeanT,ILD_I_SDevT,target_DFlow,target_DGap
-4.56,0.15,1.05,0.12,5.3,0.18,2.71,0.14,-4.62,0.09,1.04,0.14,5.36,0.24,2.72,0.12,0.0,0.0
-4.66,0.01,1.13,0.0,5.13,0.01,2.7,0.01,-4.65,0.01,1.13,0.0,5.14,0.04,2.69,0.07,0.0,0.0
-4.38,0.39,0.96,0.16,5.42,0.05,2.42,0.48,-4.59,0.26,0.87,0.32,5.45,0.27,2.27,0.58,0.0,0.0
-4.86,0.04,0.33,0.13,5.83,0.15,0.97,0.03,-4.85,0.15,0.27,0.16,5.67,0.36,1.07,0.39,0.0,0.12127
-4.86,0.04,0.33,0.13,5.83,0.15,0.97,0.03,-4.85,0.15,0.27,0.16,5.67,0.36,1.07,0.39,0.0,0.12127
-4.77,0.13,0.51,0.34,5.75,0.22,1.84,0.72,-4.7,0.13,0.56,0.28,5.7,0.24,2.2,0.53,0.0,0.12127
-4.43,0.03,1.03,0.03,5.12,0.0,1.84,0.1,-4.52,0.14,1.07,0.07,5.12,0.01,2.33,0.41,-0.19612,0.0
-4.44,0.11,1.02,0.04,5.11,0.0,1.83,0.1,-4.55,0.19,0.91,0.26,5.31,0.29,2.13,0.32,0.0,-0.12127
-4.56,0.01,1.06,0.09,5.67,0.11,2.88,0.05,-4.58,0.06,0.97,0.21,5.57,0.2,2.75,0.23,0.0,0.0
-4.64,0.01,1.14,0.0,5.17,0.02,2.75,0.01,-4.64,0.01,1.14,0.0,5.17,0.03,2.74,0.03,0.0,0.0
-4.64,0.01,1.14,0.0,5.12,0.0,2.64,0.05,-4.64,0.01,1.13,0.04,5.13,0.04,2.63,0.12,0.0,0.0
-4.45,0.02,1.05,0.01,5.12,0.0,1.9,0.09,-4.53,0.15,1.08,0.07,5.12,0.01,2.38,0.4,-0.19612,0.0
-4.66,0.02,1.13,0.0,5.12,0.01,2.56,0.07,-4.65,0.01,1.13,0.0,5.12,0.01,2.61,0.06,0.0,-0.12127
-4.65,0.02,1.13,0.0,5.12,0.01,2.72,0.05,-4.66,0.06,0.9,0.33,5.35,0.33,2.38,0.44,0.0,-0.12127
-4.79,0.06,0.42,0.3,5.79,0.18,1.43,0.48,-4.76,0.1,0.66,0.43,5.56,0.37,1.86,0.76,0.0,0.0
