ASM_A_MeanT,ASD_A_SDevT,BSM_B_MeanT,BSD_B_SDevT,CSM_C_MeanT,CSD_C_SDevT,ISM_I_MeanT,ISD_I_SDevT,ALM_A_MeanT,ALD_A_SDevT,BLM_B_MeanT,BLD_B_SDevT,CLM_C_MeanT,CLD_C_SDevT,ILM_I_MeanT,ILD_I_SDevT,target_DFlow,target_DGap
-4.52,0.09,1.06,0.03,5.11,0.0,2.02,0.11,-4.62,0.2,0.82,0.32,5.43,0.34,2.1,0.37,0.0,-0.12127
-4.65,0.02,1.13,0.0,5.12,0.01,2.72,0.05,-4.66,0.06,0.9,0.33,5.35,0.33,2.38,0.44,0.0,-0.12127
-4.56,0.15,1.05,0.12,5.3,0.18,2.71,0.14,-4.62,0.09,1.04,0.14,5.36,0.24,2.72,0.12,0.0,0.0
-4.61,0.01,1.13,0.0,5.27,0.07,2.67,0.06,-4.65,0.08,0.97,0.23,5.4,0.24,2.3,0.44,0.0,0.0
-4.62,0.04,1.12,0.02,5.12,0.0,2.47,0.2,-4.56,0.12,1.1,0.06,5.19,0.14,2.44,0.26,0.0,-0.12127
-4.65,0.09,0.17,0.06,6.1,0.03,2.91,0.3,-4.58,0.09,0.76,0.39,5.76,0.26,2.74,0.28,0.19612,0.0
-4.65,0.01,1.13,0.0,5.15,0.03,2.57,0.07,-4.58,0.05,1.07,0.1,5.48,0.22,2.69,0.18,0.0,-0.12127
-4.51,0.11,1.09,0.03,5.12,0.0,2.23,0.16,-4.56,0.11,1.1,0.04,5.13,0.04,2.36,0.17,0.0,-0.12127
-4.73,0.12,0.39,0.18,5.8,0.14,1.46,0.36,-4.76,0.12,0.52,0.35,5.74,0.27,1.7,0.63,0.0,0.0
-4.71,0.06,0.45,0.12,5.83,0.11,1.98,0.33,-4.74,0.06,0.47,0.2,5.79,0.19,1.81,0.39,0.0,0.12127
-4.51,0.14,0.76,0.26,5.58,0.38,2.65,0.52,-4.58,0.2,0.71,0.28,5.74,0.27,2.33,0.63,0.19612,0.0
-4.58,0.1,1.11,0.03,5.13,0.01,2.42,0.08,-4.62,0.06,1.13,0.02,5.12,0.01,2.57,0.1,0.0,-0.12127
-4.6,0.05,1.11,0.02,5.12,0.0,2.36,0.16,-4.55,0.09,1.09,0.04,5.13,0.05,2.24,0.36,0.0,-0.12127
-4.86,0.04,0.33,0.13,5.83,0.15,0.97,0.03,-4.85,0.15,0.27,0.16,5.67,0.36,1.07,0.39,0.0,0.12127
-4.62,0.02,1.13,0.0,5.25,0.08,2.77,0.09,-4.54,0.22,1.1,0.1,5.29,0.2,2.7,0.16,0.0,0.0
