,0,1,2,3
0,0.16228,0.1661,0.16537,0.16528
1,0.14341,0.14634,0.14628,0.14597
2,0.05896,0.06015,0.05884,0.05956
3,0.14647,0.14975,0.14902,0.149
4,0.15477,0.15837,0.15761,0.15757
5,0.16862,0.17251,0.17195,0.17174
6,0.02955,0.02822,0.02823,0.0282
7,0.03032,0.02898,0.02902,0.02898
8,0.06001,0.06121,0.05991,0.06063
9,0.16517,0.16856,0.16867,0.16815
10,0.00121,-0.00236,-0.00058,-0.00137
11,0.03233,0.03108,0.03107,0.03103
12,0.05944,0.06066,0.05929,0.06005
13,0.05208,0.05318,0.05169,0.05251
14,0.02113,0.02039,0.01958,0.02016
15,0.00992,0.00713,0.00833,0.00792
16,0.00505,0.00246,0.00307,0.00292
17,-0.00049,-0.00413,-0.00234,-0.00314
18,0.00808,0.00539,0.00624,0.00595
19,0.01138,0.00805,0.00993,0.00901
20,0.00312,-0.00036,0.00138,0.0006
21,0.01868,0.01733,0.01747,0.01767
22,0.02524,0.02341,0.02404,0.02388
23,0.03191,0.03127,0.03126,0.03154
24,,,,
25,0.17117,0.17477,0.17475,0.17426
26,0.12686,0.12962,0.12874,0.12889
27,0.12303,0.12537,0.12519,0.12503
28,0.02901,0.02768,0.02766,0.02764
29,0.08856,0.09012,0.08941,0.08966
30,0.08468,0.08655,0.08526,0.08582
31,0.13244,0.13509,0.13493,0.13472
32,0.03146,0.03015,0.03022,0.03016
33,0.15496,0.15813,0.1582,0.15775
34,0.03302,0.03175,0.03184,0.03178
35,0.05671,0.05789,0.05652,0.05728
36,0.11596,0.11854,0.11746,0.11778
37,0.07511,0.07521,0.07539,0.07515
38,0.02853,0.02721,0.02715,0.02715
39,0.05214,0.0533,0.05169,0.0526
40,0.02631,0.02557,0.02544,0.02579
41,0.01284,0.01092,0.01149,0.01144
42,0.00111,-0.00245,-0.00068,-0.00147
43,0.00011,-0.00352,-0.00171,-0.00251
44,-0.00509,-0.009,-0.00712,-0.00797
45,-0.00788,-0.01184,-0.01,-0.01083
46,0.01228,0.01031,0.01075,0.01074
47,0.05417,0.05532,0.05388,0.05467
48,0.05481,0.05603,0.05445,0.05534
49,,,,
50,0.07206,0.07245,0.07231,0.07229
51,0.0803,0.08199,0.08075,0.08129
52,0.07328,0.07382,0.07358,0.07361
53,0.01997,0.01917,0.01838,0.01896
54,0.02908,0.02886,0.02782,0.0285
55,0.07731,0.07715,0.0777,0.07726
56,0.07392,0.07456,0.07424,0.07432
57,0.05465,0.05561,0.05427,0.05497
58,0.06777,0.06723,0.06792,0.06746
59,0.02234,0.02166,0.02082,0.02141
60,0.09609,0.09765,0.09726,0.09731
61,0.05677,0.05781,0.05644,0.05715
62,0.06958,0.06984,0.07033,0.07023
63,0.02361,0.023,0.02213,0.02273
64,0.07272,0.07316,0.073,0.07299
65,0.00552,0.00217,0.00385,0.00303
66,0.06329,0.06454,0.06316,0.06385
67,0.02752,0.02691,0.02668,0.0271
68,0.06743,0.06877,0.06743,0.06808
69,0.02254,0.02052,0.02136,0.02105
70,0.03518,0.03399,0.03409,0.03402
71,0.07079,0.07112,0.07099,0.07096
72,-0.0001,-0.00375,-0.00195,-0.00273
73,0.02487,0.02434,0.02345,0.02405
74,,,,
75,0.05906,0.05918,0.0592,0.05935
76,0.03925,0.03788,0.03856,0.03828
77,0.0059,0.00323,0.00396,0.00374
78,0.02189,0.01927,0.02075,0.02015
79,0.08695,0.08851,0.08773,0.08803
80,0.05228,0.05226,0.05211,0.05237
81,0.02896,0.02783,0.02784,0.02799
82,0.00675,0.00406,0.00485,0.00459
83,0.04197,0.04149,0.04133,0.04159
84,0.05768,0.05773,0.05776,0.05791
85,0.03704,0.03539,0.03633,0.03594
86,0.00628,0.0036,0.00436,0.00413
87,0.05324,0.05266,0.05322,0.05302
88,0.01903,0.01638,0.01777,0.01722
89,0.04652,0.0456,0.04619,0.04596
90,0.03804,0.03644,0.03732,0.03695
91,0.06135,0.06119,0.06172,0.06156
92,0.0673,0.06771,0.06775,0.06791
93,0.00068,-0.00295,-0.00112,-0.00194
94,0.01094,0.00895,0.00952,0.00948
95,0.03656,0.03541,0.03554,0.03547
96,0.04182,0.04065,0.04127,0.04101
97,0.05714,0.0572,0.05721,0.05737
98,-0.00189,-0.00511,-0.0038,-0.00427
99,,,,
100,-0.00764,-0.01159,-0.00975,-0.01056
101,0.03779,0.0367,0.03681,0.03674
102,0.01843,0.01702,0.01725,0.01741
103,-0.00978,-0.01378,-0.01197,-0.01276
104,0.08603,0.08752,0.08677,0.08707
105,0.04373,0.04253,0.04333,0.04312
106,0.0465,0.04728,0.04588,0.04669
107,0.03068,0.03059,0.02949,0.03019
108,-0.00886,-0.01288,-0.01104,-0.01185
109,0.01356,0.01169,0.01224,0.0122
110,0.03458,0.03376,0.03399,0.03413
111,0.0854,0.0868,0.08613,0.08639
112,-0.00973,-0.01376,-0.01191,-0.01272
113,-0.00653,-0.01045,-0.00861,-0.00944
114,0.04113,0.04017,0.04029,0.0402
115,-0.0091,-0.01312,-0.01127,-0.01209
116,0.03625,0.03429,0.03554,0.03496
117,0.02397,0.02283,0.02303,0.02319
118,-0.00751,-0.01146,-0.00962,-0.01044
119,0.00706,0.00418,0.00537,0.00498
120,0.02727,0.02662,0.02643,0.02682
121,0.0863,0.08785,0.08705,0.08736
122,0.03629,0.03492,0.03562,0.03548
123,0.08393,0.08521,0.08462,0.08484
124,,,,
125,0.02709,0.0264,0.02624,0.02662
126,0.01843,0.01713,0.01726,0.01745
127,0.03759,0.03577,0.03685,0.0364
128,0.07183,0.07206,0.07201,0.07191
129,-0.00812,-0.01208,-0.01025,-0.01106
130,-0.00824,-0.01221,-0.01038,-0.0112
131,-0.00974,-0.01374,-0.01194,-0.0127
132,0.05508,0.05515,0.05505,0.05528
133,-0.00357,-0.00693,-0.00555,-0.00605
134,0.00988,0.00713,0.0082,0.00783
135,0.03353,0.03181,0.03274,0.03238
136,0.02163,0.02055,0.02057,0.02083
137,0.02945,0.02848,0.02862,0.0288
138,0.07329,0.07347,0.07351,0.07336
139,0.03253,0.03168,0.03184,0.03201
140,0.01807,0.01517,0.01674,0.01606
141,0.07093,0.0712,0.0711,0.07104
142,0.0792,0.07998,0.08032,0.08037
143,0.07601,0.07661,0.07704,0.07701
144,-0.00638,-0.01031,-0.00846,-0.00928
145,-0.00668,-0.01061,-0.00877,-0.00959
146,-0.00965,-0.01368,-0.01183,-0.01263
147,-0.008,-0.01196,-0.01011,-0.01094
148,-0.00921,-0.01323,-0.01139,-0.01221
149,,,,
150,-0.00738,-0.01132,-0.00948,-0.0103
151,0.01683,0.01494,0.01559,0.01551
152,0.02446,0.02326,0.02347,0.02362
153,0.02656,0.02546,0.02564,0.0258
154,-0.0096,-0.01362,-0.01178,-0.01259
155,0.01955,0.01818,0.01843,0.01857
156,-0.00931,-0.01333,-0.01149,-0.01231
157,0.00805,0.00534,0.00629,0.006
158,-0.00525,-0.00915,-0.00728,-0.00812
159,0.00465,0.002,0.00278,0.00258
160,0.03464,0.03271,0.03385,0.03334
161,0.03249,0.03059,0.03161,0.03118
162,0.03417,0.03245,0.03361,0.03317
163,0.03434,0.03343,0.03378,0.03385
164,-0.00976,-0.01379,-0.01195,-0.01275
165,0.01606,0.01451,0.01481,0.01491
166,-0.00683,-0.01076,-0.00892,-0.00974
167,-0.00977,-0.0138,-0.01196,-0.01276
168,0.02309,0.02212,0.02209,0.02238
169,-0.00936,-0.01326,-0.01153,-0.01225
170,-0.00923,-0.01311,-0.01139,-0.01211
171,0.02556,0.02475,0.02465,0.02498
172,0.02028,0.01912,0.01917,0.01941
173,0.03122,0.02944,0.03024,0.02997
174,,,,
175,-0.00725,-0.01118,-0.00934,-0.01017
176,-0.00953,-0.01356,-0.01171,-0.01252
177,-0.0094,-0.01341,-0.01156,-0.01238
178,0.01518,0.01343,0.01391,0.01391
179,0.02584,0.02307,0.0248,0.02403
180,-0.0059,-0.00984,-0.00796,-0.0088
181,0.01521,0.01357,0.01391,0.01399
182,0.01922,0.01799,0.01807,0.01829
183,0.03247,0.03075,0.03167,0.03133
184,-0.00965,-0.01362,-0.01185,-0.0126
185,-0.00024,-0.0033,-0.00208,-0.00249
186,0.03415,0.03241,0.03354,0.03311
187,-0.00948,-0.0135,-0.01164,-0.01247
188,-0.00493,-0.00885,-0.00695,-0.00782
189,0.0103,0.00747,0.00875,0.0083
190,0.01675,0.01483,0.01546,0.01539
191,0.00518,0.00279,0.00317,0.00315
192,0.03133,0.03021,0.03068,0.03069
193,-0.00572,-0.00965,-0.00779,-0.00863
194,-0.00969,-0.01368,-0.0119,-0.01265
195,0.02669,0.02529,0.02587,0.02582
196,-0.00911,-0.01298,-0.01127,-0.01197
197,-0.00971,-0.0137,-0.01191,-0.01267
198,0.02449,0.02359,0.02353,0.02385
199,,,,
200,0.05301,0.0539,0.05258,0.05328
201,0.05179,0.05267,0.05133,0.05205
202,0.01457,0.01184,0.01318,0.01269
203,0.03244,0.03071,0.03167,0.03131
204,-0.00503,-0.0085,-0.00706,-0.00761
205,0.02167,0.01942,0.02038,0.01999
206,0.03942,0.03738,0.03883,0.03812
207,-0.00955,-0.01349,-0.01173,-0.01248
208,0.07617,0.07585,0.07655,0.07604
209,0.00684,0.00418,0.00504,0.0048
210,0.0213,0.02003,0.02019,0.02037
211,0.0219,0.02025,0.02088,0.0208
212,0.01921,0.01663,0.01799,0.01748
213,0.00735,0.00465,0.00547,0.0052
214,0.00419,0.00127,0.00235,0.00202
215,0.02245,0.02021,0.02119,0.02078
216,0.033,0.03128,0.03229,0.03192
217,0.01453,0.01284,0.01323,0.01328
218,0.02777,0.0266,0.02663,0.02677
219,0.0288,0.0275,0.02743,0.02743
220,0.05674,0.0558,0.05685,0.05647
221,0.01412,0.01238,0.0128,0.01284
222,0.02681,0.02462,0.02588,0.02544
223,0.01316,0.01133,0.01182,0.01182
224,,,,
225,-0.00947,-0.01338,-0.01164,-0.01237
226,0.00598,0.00333,0.00416,0.00393
227,0.00397,0.00134,0.00228,0.00203
228,0.01613,0.01329,0.01473,0.01414
229,0.01018,0.00751,0.00842,0.0081
230,0.0146,0.01276,0.01331,0.01326
231,0.01084,0.00848,0.00924,0.00904
232,0.06072,0.0599,0.06101,0.06059
233,0.03243,0.03053,0.03154,0.03111
234,0.03837,0.0364,0.0377,0.0371
235,0.03925,0.03744,0.03882,0.03829
236,0.03349,0.03158,0.03266,0.03219
237,0.01118,0.0088,0.00959,0.00937
238,0.01378,0.01188,0.01246,0.0124
239,0.02011,0.01726,0.01887,0.01817
240,0.01036,0.00829,0.00876,0.00875
241,0.00522,0.0027,0.00358,0.00337
242,0.03424,0.03188,0.03345,0.03267
243,0.03963,0.03761,0.03904,0.03834
244,0.01387,0.01209,0.01255,0.01257
245,0.03169,0.02931,0.0308,0.03007
246,0.04281,0.04087,0.04231,0.04164
247,0.01264,0.00991,0.01115,0.0107
248,0.00526,0.00261,0.00341,0.0032
249,,,,
250,0.03259,0.0307,0.0317,0.03128
251,0.02184,0.01942,0.0206,0.02011
252,0.02045,0.01853,0.01911,0.01899
253,0.04033,0.03904,0.03969,0.03951
254,0.04109,0.03962,0.04055,0.04018
255,0.05344,0.05204,0.05357,0.05293
256,0.00349,0.00085,0.00162,0.00142
257,0.00984,0.00767,0.00821,0.00814
258,0.02958,0.02766,0.02879,0.02837
259,0.00652,0.00422,0.00497,0.00481
260,0.04051,0.03896,0.03994,0.03955
261,0.063,0.06225,0.06339,0.06295
262,0.03189,0.03002,0.03123,0.03076
263,-0.00478,-0.00869,-0.00678,-0.00765
264,0.01714,0.01508,0.0157,0.01556
265,0.03567,0.03375,0.03498,0.03446
266,0.0116,0.00952,0.0102,0.01009
267,0.03988,0.03824,0.0393,0.03886
268,-0.0046,-0.00848,-0.0066,-0.00746
269,0.03159,0.0295,0.03075,0.03021
270,0.04453,0.04335,0.04407,0.04385
271,0.06379,0.06302,0.06422,0.06375
272,0.04696,0.04585,0.04664,0.04637
273,0.02677,0.0245,0.02574,0.02521
274,,,,
275,0.00331,0.0007,0.00143,0.00126
276,0.02828,0.02652,0.02722,0.02699
277,0.03393,0.03206,0.03308,0.03263
278,0.01203,0.01022,0.01051,0.0106
279,0.01717,0.01461,0.01575,0.01534
280,0.02497,0.0227,0.0238,0.02332
281,0.03631,0.03401,0.03558,0.03481
282,0.01228,0.01043,0.01077,0.01083
283,0.03308,0.03121,0.03221,0.03177
284,-0.0044,-0.00829,-0.0064,-0.00726
285,0.03558,0.0337,0.03479,0.03432
286,0.0103,0.00814,0.00885,0.00873
287,0.04456,0.04242,0.04423,0.04331
288,0.02683,0.02453,0.02574,0.02519
289,0.02741,0.02476,0.02642,0.0257
290,0.00618,0.00388,0.00461,0.00446
291,0.02704,0.02452,0.02604,0.02539
292,-0.00422,-0.0081,-0.00622,-0.00707
293,0.03195,0.03015,0.03102,0.03068
294,0.00487,0.00232,0.00287,0.00276
295,0.00897,0.00672,0.00748,0.00733
296,0.01793,0.01607,0.0167,0.01663
297,0.00543,0.0031,0.00382,0.00368
298,0.01122,0.00917,0.00965,0.00962
299,,,,
300,0.02567,0.0232,0.02463,0.02404
301,0.01301,0.01065,0.01147,0.01122
302,0.01508,0.0129,0.01359,0.01341
303,0.01094,0.00809,0.00934,0.00886
304,0.04099,0.03886,0.04055,0.0397
305,0.04528,0.0432,0.04492,0.04406
306,0.00463,0.00217,0.00277,0.0027
307,0.03642,0.03447,0.03566,0.03511
308,0.01189,0.00947,0.01032,0.01005
309,0.01126,0.00885,0.00968,0.00943
310,0.00346,0.00088,0.00158,0.00143
311,0.03733,0.03528,0.03661,0.03598
312,0.01149,0.00907,0.00991,0.00965
313,0.0259,0.0233,0.02484,0.02419
314,0.01128,0.00888,0.0097,0.00945
315,0.01171,0.00992,0.01018,0.01029
316,0.01121,0.0088,0.00962,0.00938
317,0.00412,0.00161,0.00224,0.00214
318,0.0049,0.00245,0.00289,0.00283
319,0.00812,0.00592,0.00642,0.0064
320,0.0124,0.00999,0.01084,0.01057
321,0.00527,0.00286,0.00344,0.00338
322,0.00702,0.00476,0.00528,0.00524
