,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
0,0.563972,1.163697,0.298949,0.896362,-1.656574,0.978902,0.250467,-0.431539,-1.107247,-1.389322,-0.032345,1.463967,0.648588,0.247269,1.132817,0.989533,0.573161,-0.507918,-0.507918,-0.507918,-0.507918,-0.507918,-0.507918,-0.507918,-0.507918,-0.507918,-0.507918,-0.507918,-0.507918,0.086618,0.083412,0.025371,1.732631,2.578425,1.313309,0.298917,0.380433,1.245026,2.897295,3.397447,1.750602,3.169031,2.629472,0.815502,1.290034,-0.144795,-0.476391,-0.476391,-0.476391,-0.476391,-0.476391,-0.476391,-0.476391,-0.476391,-0.476391,-0.476391,-0.476391,-0.476391,4.07,3.20651,2.207185,1.402864,1.269056,2.011969,2.269578,2.019445,3.273144,3.730135,3.615003,2.181314,2.943863,3.609986,3.305472,1.69213,0.978461,-0.42851,-0.42851,-0.42851,-0.42851,-0.42851,-0.42851,-0.42851,-0.42851,-0.42851,-0.42851,-0.42851,-0.42851,1.973509,0.668532,1.698506,-0.121847,1.295404,0.100025,0.855716,0.625479,2.981214,3.211714,4.003853,2.361749,5.765906,2.973028,0.937652,1.209607,0.531172,-0.45813,-0.45813,-0.45813,-0.45813,-0.45813,-0.45813,-0.45813,-0.45813,-0.45813,-0.45813,-0.45813,-0.45813
1,-0.440965,0.899178,-0.164254,-1.438996,-1.41376,0.353875,-1.727725,-3.426896,-2.413393,-0.913774,1.609195,0.960258,0.585809,1.619655,2.436395,1.993685,1.509015,-0.726472,-0.726472,-0.726472,-0.726472,-0.726472,-0.726472,-0.726472,-0.726472,-0.726472,-0.726472,-0.726472,-0.726472,-0.864137,-0.461291,-0.661034,-0.798175,0.987547,-0.196625,1.195019,2.475553,0.969919,2.575894,2.348981,1.128274,1.454722,3.325139,4.568166,2.214841,1.122778,-0.776696,-0.776696,-0.776696,-0.776696,-0.776696,-0.776696,-0.776696,-0.776696,-0.776696,-0.776696,-0.776696,-0.776696,-0.5246,1.81953,1.732371,1.876461,3.517129,1.305317,2.410573,2.511883,1.6136,3.679911,2.528891,1.18018,2.514761,3.096812,3.840044,2.088214,1.700572,-0.688211,-0.688211,-0.688211,-0.688211,-0.688211,-0.688211,-0.688211,-0.688211,-0.688211,-0.688211,-0.688211,-0.688211,-0.589103,0.326809,-0.019849,0.410265,0.777931,0.103273,2.986605,2.00398,2.178427,4.414944,3.731849,2.753253,2.470639,4.130556,4.660141,2.862798,2.123379,-0.768528,-0.768528,-0.768528,-0.768528,-0.768528,-0.768528,-0.768528,-0.768528,-0.768528,-0.768528,-0.768528,-0.768528
2,-0.112144,0.473867,-0.228494,-0.726485,-1.28636,-1.117416,-2.838031,-0.981466,-1.35476,-3.64306,-4.166833,-3.163788,0.404127,4.772835,6.177695,2.902672,1.284437,-0.539726,-0.539726,-0.539726,-0.539726,-0.539726,-0.539726,-0.539726,-0.539726,-0.539726,-0.539726,-0.539726,-0.539726,-0.296705,-0.093849,-0.607925,-0.531144,0.05354,-0.947745,-0.079524,-1.161771,-0.885527,-0.197363,0.158274,0.507691,2.499512,1.299266,3.019213,3.462166,0.767027,-0.699298,-0.699298,-0.699298,-0.699298,-0.699298,-0.699298,-0.699298,-0.699298,-0.699298,-0.699298,-0.699298,-0.699298,0.191527,0.442515,0.406893,-0.9668,1.766209,-0.093066,2.355182,-0.843504,1.657512,1.547539,1.765168,1.662196,4.654488,7.131593,4.975736,3.036983,2.296128,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,0.205183,0.386757,0.133965,0.235577,1.068287,-0.386534,1.962368,-0.909218,0.648728,1.498868,2.81876,1.621563,5.402579,4.216064,3.766236,5.387364,1.548459,-0.680718,-0.680718,-0.680718,-0.680718,-0.680718,-0.680718,-0.680718,-0.680718,-0.680718,-0.680718,-0.680718,-0.680718
3,0.068636,0.023578,-0.542411,0.228754,0.138458,-1.007559,-1.080901,-1.535076,-3.487149,-5.330139,-1.748669,-0.786499,-0.870617,0.652756,0.412525,-2.520605,-0.446431,4.69635,4.69635,4.69635,4.69635,4.69635,4.69635,4.69635,4.69635,4.69635,4.69635,4.69635,4.69635,-0.536297,-0.53996,-0.742088,-0.483965,-1.009924,-0.228956,-1.048678,-0.235948,1.496877,1.641275,1.366946,2.592042,0.099192,1.284532,2.794739,2.886086,0.732342,4.051408,4.051408,4.051408,4.051408,4.051408,4.051408,4.051408,4.051408,4.051408,4.051408,4.051408,4.051408,-0.01944,-0.730448,-0.744696,0.052694,0.499141,1.173455,0.363833,1.568492,4.367621,3.124743,6.228856,4.634409,2.180507,3.277752,1.89665,2.974366,2.557858,8.999587,8.999587,8.999587,8.999587,8.999587,8.999587,8.999587,8.999587,8.999587,8.999587,8.999587,8.999587,-0.181312,-0.439243,-0.685772,-0.1993,-1.022198,-0.201919,-1.47047,0.288934,3.111016,3.061126,2.320736,3.463867,-0.007661,1.688996,3.530696,2.737311,1.140914,8.222786,8.222786,8.222786,8.222786,8.222786,8.222786,8.222786,8.222786,8.222786,8.222786,8.222786,8.222786
4,-0.08425,0.419469,-0.632937,1.591928,-0.101671,-2.139121,-2.238819,-5.155232,-0.741785,2.126832,4.897839,0.550275,-2.826886,-2.287731,1.995288,1.830934,1.063963,1.811019,1.811019,1.811019,1.811019,1.811019,1.811019,1.811019,1.811019,1.811019,1.811019,1.811019,1.811019,-1.073217,-0.587173,-0.838931,2.312919,-0.93472,-0.678024,-1.040579,-1.303615,-1.087973,-0.444228,-0.447415,0.344527,0.7099,0.796624,0.663856,-0.266369,-0.840221,1.317701,1.317701,1.317701,1.317701,1.317701,1.317701,1.317701,1.317701,1.317701,1.317701,1.317701,1.317701,-0.619445,-0.021812,-0.362084,0.563842,-0.014333,-0.86488,-0.294272,0.630048,0.885212,3.839265,2.626126,2.500366,4.490857,3.228803,2.61591,2.011012,-0.425766,3.282087,3.282087,3.282087,3.282087,3.282087,3.282087,3.282087,3.282087,3.282087,3.282087,3.282087,3.282087,-0.687311,0.404838,-0.160256,-0.9517,0.738021,0.605315,-0.798283,0.10698,-0.578443,0.852985,1.033508,0.883926,1.727475,1.681212,0.76401,-0.019968,-0.555489,2.004628,2.004628,2.004628,2.004628,2.004628,2.004628,2.004628,2.004628,2.004628,2.004628,2.004628,2.004628
5,-0.335598,-0.342826,-0.813587,0.480236,0.396853,-0.84053,-0.916457,-2.690871,-5.281537,-5.593823,-0.250353,2.127152,1.557309,1.169599,-0.942691,-1.268196,2.189773,7.384674,7.384674,7.384674,7.384674,7.384674,7.384674,7.384674,7.384674,7.384674,7.384674,7.384674,7.384674,-0.976077,-0.989452,-0.893772,0.216378,-0.892049,-0.298104,-0.808163,-0.204905,0.014142,0.659131,3.202406,2.270745,1.277401,2.719877,1.576198,3.675778,0.072887,6.048283,6.048283,6.048283,6.048283,6.048283,6.048283,6.048283,6.048283,6.048283,6.048283,6.048283,6.048283,-0.745945,-1.237239,-1.279794,0.618207,-0.974029,-0.83942,-0.520347,1.590612,1.871461,4.19312,5.168508,3.338359,2.036214,1.643742,3.307745,3.304175,1.064956,5.739048,5.739048,5.739048,5.739048,5.739048,5.739048,5.739048,5.739048,5.739048,5.739048,5.739048,5.739048,-0.686548,-1.04839,-0.891219,-0.5299,-1.025509,-1.293545,-0.810051,0.904192,2.324242,1.51928,5.010311,5.184758,2.27007,3.464564,1.421777,4.781774,0.307364,4.710395,4.710395,4.710395,4.710395,4.710395,4.710395,4.710395,4.710395,4.710395,4.710395,4.710395,4.710395
6,1.530627,1.290724,-0.048304,-2.478815,1.764015,-1.340019,-1.669536,0.400314,0.677895,-0.326317,-1.746461,1.148214,-3.014365,0.235513,-1.537267,-3.115535,-0.04705,4.590664,4.590664,4.590664,4.590664,4.590664,4.590664,4.590664,4.590664,4.590664,4.590664,4.590664,4.590664,-0.678201,-0.965,-0.865312,-0.990697,-1.702765,-2.018068,-1.44607,-2.684484,-2.550523,-1.441355,-3.242499,-2.393274,-1.374105,-0.161456,-0.7073,0.172102,-0.803025,1.628842,1.628842,1.628842,1.628842,1.628842,1.628842,1.628842,1.628842,1.628842,1.628842,1.628842,1.628842,-0.480363,-1.193048,-1.294263,0.260067,-1.119994,-1.580432,-0.272496,-1.460447,-1.118811,0.556145,-0.982281,-0.315294,0.783844,1.612965,0.033173,1.358689,0.470137,2.1685,2.1685,2.1685,2.1685,2.1685,2.1685,2.1685,2.1685,2.1685,2.1685,2.1685,2.1685,-0.62313,-1.621093,-1.334805,0.182936,-0.653019,-1.769861,0.499355,-1.113959,-0.578712,1.245387,-0.502907,-0.040412,1.529038,2.042575,1.118302,1.620887,0.940152,0.930489,0.930489,0.930489,0.930489,0.930489,0.930489,0.930489,0.930489,0.930489,0.930489,0.930489,0.930489
7,0.843759,1.011363,-0.240382,-1.087824,-1.886097,-1.787035,-0.837171,-1.937715,-0.811542,0.400339,0.196504,-3.546543,-2.078433,7.032404,5.447238,2.040779,0.948106,-0.735707,-0.735707,-0.735707,-0.735707,-0.735707,-0.735707,-0.735707,-0.735707,-0.735707,-0.735707,-0.735707,-0.735707,-0.111316,-0.220335,-0.759934,-1.061262,-0.856231,-0.499054,-0.34054,-0.900496,0.795068,3.262554,0.593898,1.464181,0.486318,1.654747,2.128596,0.142934,0.347626,-0.79682,-0.79682,-0.79682,-0.79682,-0.79682,-0.79682,-0.79682,-0.79682,-0.79682,-0.79682,-0.79682,-0.79682,-0.001369,-0.504003,-0.82944,-1.056195,-0.190605,1.326262,-0.275259,-0.278395,1.026666,3.76614,0.631518,4.868276,0.873377,8.173135,2.749728,0.460482,0.58544,-0.661017,-0.661017,-0.661017,-0.661017,-0.661017,-0.661017,-0.661017,-0.661017,-0.661017,-0.661017,-0.661017,-0.661017,-0.500106,-0.259115,-0.875605,0.389812,0.38138,0.148957,0.220467,-0.719851,1.127364,3.106525,2.197971,1.76731,1.902725,2.880165,3.742536,0.144352,-0.030791,-0.727686,-0.727686,-0.727686,-0.727686,-0.727686,-0.727686,-0.727686,-0.727686,-0.727686,-0.727686,-0.727686,-0.727686
8,-0.225961,-0.188715,-0.904284,0.422061,-0.362657,-0.396464,-3.013253,-4.923558,-2.979746,0.987968,3.451889,1.888524,1.249173,-0.593704,0.006708,0.58257,0.543228,8.724732,8.724732,8.724732,8.724732,8.724732,8.724732,8.724732,8.724732,8.724732,8.724732,8.724732,8.724732,-1.095873,-1.179512,-1.057035,0.44765,0.335441,-0.122789,-0.402697,-0.719469,0.216597,2.632716,0.016414,0.266351,1.980366,2.560118,4.043263,1.119275,-0.701241,9.766496,9.766496,9.766496,9.766496,9.766496,9.766496,9.766496,9.766496,9.766496,9.766496,9.766496,9.766496,-0.784733,-1.247827,-1.58753,1.130476,-1.200952,-0.025977,0.738647,0.532379,2.172697,5.972345,1.816844,2.389132,3.937845,2.915281,3.181746,2.378383,0.07171,5.846464,5.846464,5.846464,5.846464,5.846464,5.846464,5.846464,5.846464,5.846464,5.846464,5.846464,5.846464,-0.278229,-1.151675,-1.140151,-0.230818,-1.476806,-1.314477,-0.399534,-0.002637,1.711656,5.085882,1.847245,0.949913,2.321587,3.368185,3.658151,1.193893,-0.014381,4.937066,4.937066,4.937066,4.937066,4.937066,4.937066,4.937066,4.937066,4.937066,4.937066,4.937066,4.937066
9,-0.503809,-0.603166,0.446596,0.527539,0.281603,1.614807,-2.006009,0.445549,1.520322,-0.451883,0.393312,1.649709,0.612946,-0.021669,-0.665216,-0.5716,1.408333,2.689341,2.689341,2.689341,2.689341,2.689341,2.689341,2.689341,2.689341,2.689341,2.689341,2.689341,2.689341,0.387783,0.233263,1.073458,0.670084,0.094985,0.050619,2.857777,0.809785,0.169933,-0.339305,-0.49623,0.05381,-0.126192,-0.725113,-0.411991,-0.402644,-1.132796,1.80531,1.80531,1.80531,1.80531,1.80531,1.80531,1.80531,1.80531,1.80531,1.80531,1.80531,1.80531,1.224125,0.407779,1.124697,0.935433,-0.20714,0.859511,1.105898,0.228254,0.494711,1.752466,0.639178,0.948387,-0.022669,-0.609225,0.800396,-0.103493,-0.471069,7.348922,7.348922,7.348922,7.348922,7.348922,7.348922,7.348922,7.348922,7.348922,7.348922,7.348922,7.348922,3.270391,2.419977,2.633175,-0.310953,-0.325523,0.455955,2.252508,0.195395,0.401753,-0.011185,-0.581472,0.895901,0.337484,-0.214472,0.340713,-0.180066,-0.730273,2.97462,2.97462,2.97462,2.97462,2.97462,2.97462,2.97462,2.97462,2.97462,2.97462,2.97462,2.97462
