,0,1
0,0.03384,0.06776
1,0.03783,0.01592
2,0.03226,-0.00332
3,0.01705,-0.03725
4,0.01304,0.04873
5,0.01413,-0.0114
6,0.05184,0.01227
7,0.05184,0.01227
8,0.03972,0.00605
9,0.03972,0.00605
10,0.03479,0.00156
11,0.01095,0.05088
12,-0.01493,-0.02325
13,0.05184,0.01227
14,0.03382,0.02493
15,0.03783,0.05644
16,0.01413,-0.0114
17,0.03972,0.00605
18,0.05184,0.01227
19,0.04977,-6e-05
20,0.05184,0.01227
21,-0.03346,0.07232
22,0.02712,0.03744
23,0.05184,0.01227
24,0.05184,0.01227
25,0.0139,-0.00844
26,-0.03346,0.07232
27,0.01095,0.05088
28,0.01304,0.04873
29,0.03783,0.05644
30,0.03783,0.05644
31,0.05184,0.01227
32,0.05184,0.01227
33,0.05184,0.01227
34,0.01413,-0.0114
35,0.05184,0.01227
36,0.03954,0.02172
37,,
38,0.01413,-0.0114
39,0.01095,0.05088
40,-0.03346,0.07232
41,0.01872,0.04661
42,0.03382,0.02493
43,0.03479,0.00156
44,0.03226,-0.00332
45,-0.03346,0.07232
46,0.03384,0.06776
47,0.02847,0.01514
48,0.01199,-0.00388
49,0.03783,0.01592
50,-0.03346,0.07232
51,0.01705,-0.03725
52,0.02712,0.03744
53,0.01413,-0.0114
54,-0.03346,0.07232
55,0.03972,0.00605
56,-0.00119,0.01785
57,0.03783,0.05644
58,-0.03346,0.07232
59,0.01199,-0.00388
60,0.03783,0.05644
61,0.01872,0.04661
62,0.03911,0.03357
63,0.03972,0.00605
64,0.02847,0.01514
65,0.01705,-0.03725
66,0.01705,-0.03725
67,0.03384,0.06776
68,0.01199,-0.00388
69,0.02847,0.01514
70,0.01199,-0.00388
71,0.03226,-0.00332
72,0.03479,0.00156
73,0.03384,0.06776
74,0.01199,-0.00388
75,,
76,-0.00585,0.05181
77,-0.03346,0.07232
78,0.01635,-0.04305
79,0.02252,0.05868
80,0.01705,-0.03725
81,0.03191,0.03548
82,0.03918,0.0096
83,0.01635,-0.04305
84,0.03479,0.00156
85,0.03382,0.02493
86,-0.00585,0.05181
87,0.03191,0.03548
88,0.0139,-0.00844
89,0.03783,0.05644
90,0.03972,0.00605
91,0.0139,-0.00844
92,0.01705,-0.03725
93,0.03783,0.01592
94,0.03226,-0.00332
95,0.0139,-0.00844
96,-0.03346,0.07232
97,0.03479,0.00156
98,0.03783,0.01592
99,0.03226,-0.00332
100,0.03918,0.0096
101,0.01199,-0.00388
102,0.03783,0.01592
103,0.03226,-0.00332
104,-0.00585,0.01733
105,0.03226,-0.00332
106,0.03783,0.05644
107,0.01413,-0.0114
108,0.02847,0.01514
109,-0.01493,-0.02325
110,0.03911,0.03357
111,0.01705,-0.03725
112,0.0139,-0.00844
113,,
114,0.02712,0.03744
115,0.03954,0.02172
116,0.03972,0.00605
117,0.03783,0.01592
118,0.01413,-0.0114
119,0.03972,0.00605
120,0.01199,-0.00388
121,0.03783,0.05644
122,0.03191,0.03548
123,0.03191,0.03548
124,0.03783,0.05644
125,-0.00585,0.05181
126,0.04977,-6e-05
