,0,1,2,3,4,5
0,0.15223,0.14827,0.15353,0.15424,0.14087,0.13522
1,0.15165,0.14827,0.15322,0.15377,0.13308,0.12756
2,,,,,,
3,0.14682,0.1504,0.13565,0.13631,0.22583,0.22595
4,0.09567,0.11445,0.14489,0.14716,0.08099,0.09344
5,,,,,,
6,0.15422,0.14939,0.14551,0.14528,0.13862,0.13436
7,0.15455,0.14961,0.14181,0.14197,0.16544,0.16019
8,,,,,,
9,0.15841,0.14984,0.13873,0.14056,0.18984,0.1864
10,0.15165,0.14984,0.13873,0.14009,0.1952,0.19183
11,,,,,,
12,0.1512,0.15028,0.13873,0.1382,0.21597,0.21112
13,0.14578,0.14838,0.15445,0.15518,0.14095,0.13992
14,,,,,,
15,0.15078,0.14804,0.15399,0.15471,0.15151,0.14622
16,0.15171,0.14849,0.15291,0.15329,0.13862,0.13349
17,,,,,,
18,0.15245,0.14939,0.14489,0.1448,0.158,0.15451
19,0.14037,0.15028,0.13565,0.13631,0.18863,0.19258
20,,,,,,
21,0.13754,0.14782,0.14181,0.14103,0.14588,0.14783
22,0.14163,0.14737,0.13611,0.13443,0.16033,0.1639
23,,,,,,
24,0.1768,0.14793,0.12609,0.12358,0.07744,0.07144
25,0.13954,0.14961,0.14489,0.1448,0.16405,0.1639
26,,,,,,
27,0.13873,0.1476,0.13765,0.13608,0.15038,0.15389
28,0.09844,0.11445,0.14798,0.15094,0.07355,0.08356
29,,,,,,
30,0.14624,0.14782,0.1304,0.12829,0.1708,0.17305
31,0.09483,0.11422,0.14798,0.14952,0.07389,0.08405
32,,,,,,
33,0.1519,0.14793,0.13164,0.12971,0.15142,0.15142
34,0.1349,0.14782,0.14597,0.14551,0.14312,0.14585
35,,,,,,
36,0.17403,0.14804,0.1264,0.12381,0.07857,0.07317
37,0.12056,0.1467,0.16216,0.16367,0.11733,0.122
38,,,,,,
39,0.1282,0.14726,0.15676,0.15777,0.13645,0.13782
40,0.1711,0.1476,0.12794,0.1257,0.07632,0.07194
41,,,,,,
42,0.16978,0.14804,0.12809,0.1257,0.13481,0.12867
43,0.15258,0.14782,0.13164,0.12971,0.14796,0.14697
44,,,,,,
