,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-4.51,0.19,0.98,0.15,5.42,0.23,2.45,0.22,-4.53,0.13,0.97,0.2,5.51,0.27,2.62,0.3
1,-4.65,0.01,1.13,0.0,5.11,0.0,2.59,0.03,-4.65,0.02,1.13,0.02,5.12,0.02,2.57,0.14
2,-4.62,0.02,1.13,0.0,5.25,0.08,2.77,0.09,-4.54,0.22,1.1,0.1,5.29,0.2,2.7,0.16
3,-4.6,0.09,1.09,0.05,5.1,0.0,2.07,0.27,-4.53,0.17,1.03,0.13,5.17,0.14,2.14,0.28
4,-4.58,0.09,1.11,0.03,5.18,0.08,2.46,0.41,-4.5,0.14,1.07,0.07,5.14,0.05,2.2,0.38
5,,,,,,,,,,,,,,,,
6,-4.58,0.1,1.11,0.03,5.13,0.01,2.42,0.08,-4.62,0.06,1.13,0.02,5.12,0.01,2.57,0.1
7,-4.62,0.01,1.13,0.0,5.12,0.0,2.51,0.02,-4.63,0.01,1.13,0.0,5.12,0.01,2.61,0.1
8,-4.51,0.29,0.74,0.28,5.53,0.23,2.11,0.34,-4.72,0.21,0.57,0.32,5.7,0.25,1.87,0.56
9,-4.64,0.0,1.13,0.0,5.12,0.0,2.66,0.03,-4.64,0.01,1.13,0.0,5.12,0.01,2.63,0.11
10,-4.57,0.06,1.12,0.01,5.13,0.01,2.43,0.06,-4.61,0.05,1.12,0.03,5.12,0.01,2.43,0.21
11,,,,,,,,,,,,,,,,
12,-4.43,0.25,1.06,0.13,5.44,0.33,2.5,0.31,-4.57,0.15,1.04,0.17,5.4,0.24,2.75,0.23
13,-4.81,0.07,0.58,0.28,5.58,0.23,1.38,0.36,-4.74,0.11,0.5,0.22,5.66,0.19,1.52,0.38
14,-4.59,0.03,0.99,0.17,5.6,0.28,2.81,0.16,-4.79,0.14,0.51,0.39,5.79,0.27,1.61,0.77
15,-4.51,0.14,0.76,0.26,5.58,0.38,2.65,0.52,-4.58,0.2,0.71,0.28,5.74,0.27,2.33,0.63
16,-4.64,0.01,1.13,0.0,5.12,0.0,2.64,0.07,-4.65,0.05,0.98,0.29,5.28,0.29,2.46,0.38
17,,,,,,,,,,,,,,,,
18,-4.61,0.1,0.88,0.24,5.4,0.21,2.25,0.65,-4.78,0.13,0.45,0.32,5.79,0.28,1.45,0.67
19,-4.96,0.02,0.04,0.02,6.1,0.02,0.81,0.06,-4.73,0.19,0.58,0.47,5.69,0.37,2.05,0.94
20,-4.67,0.12,0.6,0.28,5.66,0.19,2.17,0.61,-4.75,0.11,0.45,0.24,5.83,0.18,1.85,0.61
21,-4.68,0.15,0.65,0.35,5.69,0.22,2.07,0.35,-4.76,0.12,0.55,0.33,5.74,0.23,1.89,0.58
22,-4.64,0.01,1.12,0.01,5.17,0.06,2.84,0.07,-4.65,0.08,0.98,0.28,5.29,0.27,2.49,0.53
23,,,,,,,,,,,,,,,,
24,-4.57,0.16,0.68,0.45,5.84,0.32,2.54,0.21,-4.56,0.1,0.76,0.4,5.76,0.29,2.74,0.3
25,-4.76,0.09,0.38,0.18,5.91,0.05,1.93,0.62,-4.73,0.08,0.51,0.26,5.82,0.19,2.19,0.47
26,-4.65,0.18,0.43,0.26,5.69,0.32,2.14,0.43,-4.6,0.13,0.58,0.38,5.78,0.3,2.56,0.41
27,-4.72,0.16,0.4,0.25,5.82,0.19,1.68,0.39,-4.77,0.11,0.45,0.24,5.79,0.19,1.61,0.38
28,-4.78,0.05,0.61,0.3,5.67,0.24,1.73,0.27,-4.77,0.09,0.52,0.31,5.74,0.23,1.94,0.55
29,,,,,,,,,,,,,,,,
30,-4.71,0.05,0.65,0.26,5.6,0.27,2.33,0.23,-4.71,0.07,0.61,0.27,5.68,0.23,2.02,0.53
31,-4.68,0.07,0.33,0.13,5.98,0.07,2.45,0.61,-4.59,0.09,0.77,0.33,5.83,0.26,2.73,0.37
32,-4.46,0.05,1.06,0.02,5.12,0.0,2.0,0.19,-4.54,0.15,1.07,0.09,5.14,0.06,2.38,0.42
33,-4.69,0.04,0.61,0.26,5.72,0.21,2.39,0.42,-4.73,0.06,0.56,0.18,5.74,0.15,1.91,0.39
34,-4.73,0.08,0.72,0.34,5.62,0.3,1.97,0.63,-4.67,0.06,1.03,0.25,5.26,0.26,2.55,0.46
35,,,,,,,,,,,,,,,,
36,-4.83,0.07,0.27,0.17,5.9,0.08,1.15,0.31,-4.69,0.12,0.57,0.35,5.83,0.22,2.08,0.8
37,-4.71,0.04,0.47,0.22,5.86,0.15,2.08,0.19,-4.76,0.07,0.44,0.24,5.85,0.19,1.77,0.47
38,-4.48,0.19,1.03,0.06,5.2,0.11,2.23,0.37,-4.56,0.12,1.1,0.05,5.16,0.07,2.45,0.28
39,-4.94,0.05,0.21,0.12,6.02,0.09,1.17,0.45,-4.81,0.1,0.43,0.29,5.84,0.22,1.62,0.59
40,-4.82,0.09,0.32,0.2,5.94,0.11,1.29,0.51,-4.82,0.08,0.33,0.19,5.87,0.14,1.3,0.49
